SKU,Retail Price,Unit of Measure,Region,Meter,Product Name
Standard_NV36ads_A10_v5,4.856,1 Hour,westus3,NV36ads A10 v5,Virtual Machines NVadsA10v5 Series Windows
Standard_NV16as_v4,0.667,1 Hour,westus3,NV16as v4 Low Priority,Virtual Machines NVasv4 Series Windows
Standard_NC24ads_A100_v4,3.673,1 Hour,westus3,NC24ads_A100_v4,NCads A100 v4 Series Linux
Standard_NG32ads_V620_v1,4.38,1 Hour,westus3,NG32adsV620,Virtual Machines NGadsV620v1 Series
Standard_NG16ads_V620_v1,0.438,1 Hour,westus3,NG16adsV620 Low Priority,Virtual Machines NGadsV620v1 Series
Standard_NG32ads_V620_v1,2.341,1 Hour,westus3,NG32adsV620 Low Priority,Virtual Machines NGadsV620v1 Series Windows
Standard_ND96asr_A100_v4,12.645,1 Hour,westus3,ND96asr A100 v4 Low Priority,Virtual Machines NDasr A100 v4 Series Windows
Standard_ND96amsr_A100_v4,6.554,1 Hour,westus3,ND96amsr A100 v4 Low Priority,Virtual Machines NDamsr A100 v4 Series Linux
Standard_NC24s_v3,5.338,1 Hour,westus3,NC24s v3 Low Priority,Virtual Machines NCSv3 Series Windows
Standard_NV36adms_A10_v5,2.4704,1 Hour,westus3,NV36adms A10 v5 Spot,Virtual Machines NVadsA10v5 Series Windows
Standard_NV6ads_A10_v5,0.0908,1 Hour,westus3,NV6ads A10 v5 Low Priority,Virtual Machines NVadsA10v5 Series
Standard_NC12s_v3,3.668266,1 Hour,westus3,NC12s v3 Spot,Virtual Machines NCSv3 Series Windows
Standard_NG16ads_V620_v1,0.876,1 Hour,westus3,NG16adsV620 Spot,Virtual Machines NGadsV620v1 Series
Standard_NC24rs_v3,2.692,1 Hour,westus3,NC24rs v3 Low Priority,Virtual Machines NCSv3 Series
Standard_NV36ads_A10_v5,1.942,1 Hour,westus3,NV36ads A10 v5 Low Priority,Virtual Machines NVadsA10v5 Series Windows
Standard_NC8as_T4_v3,0.0752,1 Hour,westus3,NC8as T4 v3 Spot,Virtual Machines NCasT4 v3 Series
Standard_NV18ads_A10_v5,0.9712,1 Hour,westus3,NV18ads A10 v5 Spot,Virtual Machines NVadsA10v5 Series Windows
Standard_NC64as_T4_v3,0.4352,1 Hour,westus3,NC64asT4 v3 Spot,Virtual Machines NCasT4 v3 Series
Standard_NV36adms_A10_v5,6.176,1 Hour,westus3,NV36adms A10 v5,Virtual Machines NVadsA10v5 Series Windows
Standard_NC6s_v3,1.834133,1 Hour,westus3,NC6s v3 Spot,Virtual Machines NCSv3 Series Windows
Standard_NC96ads_A100_v4,4.642672,1 Hour,westus3,NC96ads_A100_v4 Spot,NCads A100 v4 Series Linux
